Arrival,Price,Dates
194.0,500,2012-01-02
174.0,475,2012-01-03
7.0,300,2012-01-04
264.0,400,2012-01-05
192.5,400,2012-01-06
201.5,425,2012-01-07
222.1,375,2012-01-09
151.9,400,2012-01-10
105.9,425,2012-01-11
173.9,400,2012-01-12
223.7,400,2012-01-13
260.1,375,2012-01-14
270.5,380,2012-01-16
160.3,450,2012-01-17
136.9,425,2012-01-18
202.9,450,2012-01-19
180.4,450,2012-01-20
164.4,500,2012-01-21
260.4,500,2012-01-23
384.6,450,2012-01-24
265.4,375,2012-01-25
345.3,350,2012-01-27
335.8,361,2012-01-28
288.0,375,2012-01-30
252.4,375,2012-01-31
224.7,350,2012-02-01
259.6,350,2012-02-02
201.5,375,2012-02-03
199.6,380,2012-02-04
255.5,350,2012-02-06
179.1,375,2012-02-07
47.1,400,2012-02-08
149.8,450,2012-02-09
125.8,450,2012-02-10
193.9,425,2012-02-11
216.4,400,2012-02-13
291.5,375,2012-02-14
273.0,350,2012-02-15
296.7,350,2012-02-17
182.6,360,2012-02-18
50.1,350,2012-02-21
125.9,400,2012-02-22
234.5,375,2012-02-23
227.8,380,2012-02-24
240.7,400,2012-02-25
208.8,375,2012-02-27
157.0,340,2012-02-28
147.6,350,2012-02-29
187.0,375,2012-03-01
157.3,400,2012-03-02
150.3,425,2012-03-03
213.8,385,2012-03-06
174.6,400,2012-03-07
61.0,350,2012-03-09
153.0,375,2012-03-10
39.0,375,2012-03-13
109.6,400,2012-03-14
120.5,425,2012-03-15
109.8,400,2012-03-16
130.0,375,2012-03-17
147.8,390,2012-03-19
91.6,425,2012-03-21
90.2,400,2012-03-22
99.5,400,2012-03-24
50.1,425,2012-03-26
86.7,400,2012-03-27
60.3,375,2012-03-28
107.3,400,2012-03-29
98.0,380,2012-03-30
114.5,400,2012-03-31
219.2,380,2012-04-07
173.9,375,2012-04-09
239.2,400,2012-04-10
186.8,400,2012-04-11
199.5,425,2012-04-12
240.2,375,2012-04-13
172.5,400,2012-04-16
162.9,400,2012-04-17
472.1,380,2012-04-19
215.0,375,2012-04-20
176.0,350,2012-04-21
411.7,340,2012-04-23
313.9,350,2012-04-24
253.7,325,2012-04-25
22.5,375,2012-04-27
36.1,380,2012-04-28
112.5,400,2012-04-30
179.9,425,2012-05-03
256.3,400,2012-05-04
106.0,375,2012-05-05
283.2,350,2012-05-07
365.5,350,2012-05-08
373.6,325,2012-05-09
327.1,340,2012-05-10
345.3,350,2012-05-11
396.1,300,2012-05-12
213.4,325,2012-05-14
300.6,350,2012-05-15
210.2,350,2012-05-17
172.1,325,2012-05-18
67.5,340,2012-05-19
269.0,350,2012-05-21
222.9,375,2012-05-22
238.7,350,2012-05-23
202.4,325,2012-05-24
183.5,350,2012-05-25
243.0,375,2012-05-26
276.0,350,2012-05-28
230.7,375,2012-05-29
218.9,350,2012-05-30
211.3,350,2012-05-31
195.0,360,2012-06-01
223.5,350,2012-06-02
185.2,340,2012-06-04
282.8,350,2012-06-05
219.7,375,2012-06-06
274.1,350,2012-06-07
238.4,380,2012-06-08
236.1,400,2012-06-09
244.5,375,2012-06-11
247.2,350,2012-06-12
199.6,400,2012-06-13
277.8,375,2012-06-14
197.5,400,2012-06-15
93.4,400,2012-06-16
197.2,450,2012-06-18
225.4,450,2012-06-19
369.4,425,2012-06-20
341.7,400,2012-06-22
336.3,450,2012-06-23
305.7,400,2012-06-25
131.0,400,2012-07-02
306.5,425,2012-07-03
326.2,550,2012-07-04
290.3,540,2012-07-05
232.1,550,2012-07-06
238.5,500,2012-07-07
348.3,525,2012-07-09
556.2,525,2012-07-11
431.4,500,2012-07-12
394.1,500,2012-07-13
373.5,550,2012-07-14
251.4,525,2012-07-16
364.2,500,2012-07-17
329.5,500,2012-07-18
307.6,550,2012-07-19
267.8,500,2012-07-20
256.2,500,2012-07-21
230.4,525,2012-07-23
231.5,475,2012-07-24
284.0,550,2012-07-26
201.3,525,2012-07-27
177.5,550,2012-07-28
172.6,540,2012-07-30
274.0,550,2012-07-31
192.5,500,2012-08-01
171.0,500,2012-08-03
209.2,525,2012-08-04
226.1,500,2012-08-06
190.8,510,2012-08-07
178.2,500,2012-08-08
253.9,525,2012-08-09
152.7,575,2012-08-10
155.5,600,2012-08-11
273.6,600,2012-08-13
358.6,650,2012-08-14
314.6,625,2012-08-16
363.9,600,2012-08-17
316.2,625,2012-08-21
337.0,600,2012-08-22
367.0,625,2012-08-23
306.2,650,2012-08-24
322.5,575,2012-08-25
323.0,600,2012-08-27
145.5,525,2012-08-28
307.2,550,2012-08-29
331.5,560,2012-08-30
236.8,500,2012-08-31
200.0,500,2012-09-01
211.0,525,2012-09-03
252.5,550,2012-09-04
174.9,500,2012-09-05
225.1,525,2012-09-06
176.3,500,2012-09-07
157.0,450,2012-09-08
248.7,460,2012-09-10
213.6,475,2012-09-11
176.7,500,2012-09-12
279.8,525,2012-09-13
261.0,500,2012-09-14
229.7,450,2012-09-15
295.7,500,2012-09-17
336.9,500,2012-09-18
196.4,475,2012-09-20
77.1,450,2012-09-21
247.0,575,2012-09-22
252.5,550,2012-09-24
271.4,500,2012-09-25
273.5,525,2012-09-27
187.1,500,2012-09-28
185.3,575,2012-10-03
277.2,550,2012-10-04
238.0,560,2012-10-05
150.4,525,2012-10-06
235.0,500,2012-10-08
231.0,500,2012-10-09
194.9,600,2012-10-10
236.1,650,2012-10-11
156.5,600,2012-10-12
166.8,650,2012-10-13
259.5,650,2012-10-15
224.0,650,2012-10-16
207.1,800,2012-10-19
224.8,850,2012-10-20
322.6,800,2012-10-22
314.3,900,2012-10-23
109.5,950,2012-10-25
158.9,850,2012-10-26
165.8,850,2012-10-27
296.1,900,2012-10-29
257.0,850,2012-11-05
205.5,800,2012-11-06
184.5,825,2012-11-07
217.8,850,2012-11-08
148.5,800,2012-11-09
125.8,825,2012-11-10
164.0,900,2012-11-12
115.0,900,2012-11-15
131.1,950,2012-11-22
71.3,1000,2012-11-23
118.5,900,2012-11-28
46.5,1000,2012-11-29
73.7,850,2012-11-30
64.0,825,2012-12-01
119.1,850,2012-12-03
50.0,900,2012-12-06
21.1,900,2012-12-07
25.0,800,2012-12-08
66.8,825,2012-12-10
50.2,850,2012-12-11
111.6,1200,2012-12-12
102.6,1250,2012-12-13
104.5,1200,2012-12-14
191.9,1050,2012-12-17
205.0,1000,2012-12-18
226.7,1050,2012-12-19
237.8,1000,2012-12-20
210.1,1050,2012-12-21
181.0,1100,2012-12-22
309.0,1000,2012-12-24
279.2,1025,2012-12-27
140.0,1050,2012-12-28
